Name,Location,URL,Opening Hours,Ticket Prices (Adult),Ticket Prices (Student)
Sabil-Kuttab of Abd al-Rahman Katkhuda,Al-Mu'izz Street (Cairo),https://egymonuments.gov.eg/en/monuments/sabil-kuttab-of-abd-al-rahman-katkhuda,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
Madrasa and Mausoleum of al-Saleh Najm al-Din Ayyub,Al-Mu'izz Street (Cairo),https://egymonuments.gov.eg/en/monuments/madrasa-and-mausoleum-of-al-salih-nagm-al-din-ayyub,"{""Sunday"": ""09:00 AM - 05:00 PM"", ""Monday"": ""09:00 AM - 05:00 PM"", ""Tuesday"": ""09:00 AM - 05:00 PM"", ""Wednesday"": ""09:00 AM - 05:00 PM"", ""Thursday"": ""09:00 AM - 05:00 PM"", ""Friday"": ""09:00 AM - 05:00 PM"", ""Saturday"": ""09:00 AM - 05:00 PM""}",N/A,N/A
House of Sitt Wasila,Cairo,https://egymonuments.gov.eg/en/monuments/house-of-sitt-wasila,{},N/A,N/A
Qubbat Al-Hawa Cemetery,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/qubbat-al-hawa-cemetery-1,"{""Sunday"": ""07:00 AM - 04:00 PM"", ""Monday"": ""07:00 AM - 04:00 PM"", ""Tuesday"": ""07:00 AM - 04:00 PM"", ""Wednesday"": ""07:00 AM - 04:00 PM"", ""Thursday"": ""07:00 AM - 04:00 PM"", ""Friday"": ""07:00 AM - 04:00 PM"", ""Saturday"": ""07:00 AM - 04:00 PM""}",N/A,N/A
Elephantine,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/elephantine-1,"{""Sunday"": ""08:00 AM - 04:00 PM"", ""Monday"": ""08:00 AM - 04:00 PM"", ""Tuesday"": ""08:00 AM - 04:00 PM"", ""Wednesday"": ""08:00 AM - 04:00 PM"", ""Thursday"": ""08:00 AM - 04:00 PM"", ""Friday"": ""08:00 AM - 04:00 PM"", ""Saturday"": ""08:00 AM - 04:00 PM""}",N/A,N/A
Al Kab,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/al-kab,"{""Sunday"": ""07:00 AM - 05:00 PM"", ""Monday"": ""07:00 AM - 05:00 PM"", ""Tuesday"": ""07:00 AM - 05:00 PM"", ""Wednesday"": ""07:00 AM - 05:00 PM"", ""Thursday"": ""07:00 AM - 05:00 PM"", ""Friday"": ""07:00 AM - 05:00 PM"", ""Saturday"": ""07:00 AM - 05:00 PM""}",N/A,N/A
Aswan,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/aswan,{},N/A,N/A
Al-Bahnasa Tombs,Al-Minya,https://egymonuments.gov.eg/en/archaeological-sites/al-bahnasa-tombs,{},N/A,N/A
Amada Temples,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/amada-temples,"{""Sunday"": ""07:00 AM - 04:00 PM"", ""Monday"": ""07:00 AM - 04:00 PM"", ""Tuesday"": ""07:00 AM - 04:00 PM"", ""Wednesday"": ""07:00 AM - 04:00 PM"", ""Thursday"": ""07:00 AM - 04:00 PM"", ""Friday"": ""07:00 AM - 04:00 PM"", ""Saturday"": ""07:00 AM - 04:00 PM""}",N/A,N/A
Temples of Wadi al Sebua,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/temples-of-wadi-al-sebua,"{""Sunday"": ""07:00 AM - 04:00 PM"", ""Monday"": ""07:00 AM - 04:00 PM"", ""Tuesday"": ""07:00 AM - 04:00 PM"", ""Wednesday"": ""07:00 AM - 04:00 PM"", ""Thursday"": ""07:00 AM - 04:00 PM"", ""Friday"": ""07:00 AM - 04:00 PM"", ""Saturday"": ""07:00 AM - 04:00 PM""}",N/A,N/A
Abu Mina,Alexandria,https://egymonuments.gov.eg/en/archaeological-sites/abu-mina-1,"{""Sunday"": ""07:00 AM - 07:00 PM"", ""Monday"": ""07:00 AM - 07:00 PM"", ""Tuesday"": ""07:00 AM - 07:00 PM"", ""Wednesday"": ""07:00 AM - 07:00 PM"", ""Thursday"": ""07:00 AM - 07:00 PM"", ""Friday"": ""07:00 AM - 07:00 PM"", ""Saturday"": ""07:00 AM - 07:00 PM""}",N/A,N/A
Heliopolis,Cairo,https://egymonuments.gov.eg/en/archaeological-sites/heliopolis,{},N/A,N/A
Abu Simbel,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/abu-simbel,"{""Sunday"": ""06:00 AM - 05:00 PM"", ""Monday"": ""06:00 AM - 05:00 PM"", ""Tuesday"": ""06:00 AM - 05:00 PM"", ""Wednesday"": ""06:00 AM - 05:00 PM"", ""Thursday"": ""06:00 AM - 05:00 PM"", ""Friday"": ""06:00 AM - 05:00 PM"", ""Saturday"": ""06:00 AM - 05:00 PM""}",N/A,N/A
Philae,Aswan,https://egymonuments.gov.eg/en/archaeological-sites/philae,"{""Sunday"": ""07:00 AM - 04:00 PM"", ""Monday"": ""07:00 AM - 04:00 PM"", ""Tuesday"": ""07:00 AM - 04:00 PM"", ""Wednesday"": ""07:00 AM - 04:00 PM"", ""Thursday"": ""07:00 AM - 04:00 PM"", ""Friday"": ""07:00 AM - 04:00 PM"", ""Saturday"": ""07:00 AM - 04:00 PM""}",N/A,N/A
Karnak,Luxor,https://egymonuments.gov.eg/en/archaeological-sites/karnak,"{""Sunday"": ""06:00 AM - 05:00 PM"", ""Monday"": ""06:00 AM - 05:00 PM"", ""Tuesday"": ""06:00 AM - 05:00 PM"", ""Wednesday"": ""06:00 AM - 05:00 PM"", ""Thursday"": ""06:00 AM - 05:00 PM"", ""Friday"": ""06:00 AM - 05:00 PM"", ""Saturday"": ""06:00 AM - 05:00 PM""}",N/A,N/A
